Name,Current Wealth,Age,Stroop Interference (ms)-before,Stroop Interference (ms)-after,Time Difference
Mathilde Lebrun,"5,113.00",30,722,736,14
Lord Desmond Yamada,"4,771,751.00",53,858,837,-21
Macon Hall,"6,271.00",38,803,794,-9
Odile Morris,"6,042.00",36,761,773,12
Chidori Sakurai,"5,331.00",41,768,774,6
Inge Sorensen,"2,263.00",38,803,791,-12
Raphael Ibsen,"1,702.00",30,762,741,-21
Nanami Murphy,"5,952.00",42,804,785,-19
Sten Sorensen,"5,919.00",44,788,819,31
Torvald Blomgren,"4,781.00",56,836,847,11
Manfred Koch,"3,842.00",35,744,745,1
Christian Solberg,"8,730.00",47,787,788,1
Mathieu Marty,"6,370.00",58,862,873,11
Hugo Jensen,"4,060.00",36,787,807,20
Etienne Page,"2,925.00",37,762,780,18
Hanne Solberg,"8,264.00",43,799,787,-12
Gert Ibsen,"12,322.00",37,782,761,-21
Leon Jensen,"4,145.00",43,797,797,0
Galen Carlsen,"4,191.00",42,797,812,15
Aadesh Laha,"4,382.00",33,774,757,-17
Erin Collins,"5,254.00",56,836,830,-6
Yannick Pons,"5,278.00",55,870,855,-15
Birte Wagner,"5,565.00",49,810,808,-2
Kelda Jensen,"5,437.00",41,772,788,16
Keya Ganaka,"6,403.00",48,820,825,5
William Erickson,"11,462.00",40,752,775,23
Gunnar Solberg,"1,880.00",43,795,786,-9
Kristina Sorensen,"9,559.00",49,848,842,-6
Lee Sato,"1,948.00",25,720,710,-10
Lucia Thorn,"1,921.00",26,752,752,0
Tilmann Horn,"3,224.00",37,780,784,4
Lynnea Svendsen,"3,231.00",37,780,772,-8
Daniela Grimm,"7,912.00",40,771,781,10
Hans Blomgren,"10,108.00",42,801,810,9
Brett Stevenson,"4,337.00",35,754,756,2
Ebbe Sorensen,"1,879.00",25,711,726,15
Emaan Dhawan,"4,269.00",27,730,727,-3
Lady Lea Ibsen,"4,960,316.00",58,873,873,0
Remi Martins,"5,763.00",53,814,818,4
Britt Olsen,"5,112.00",25,748,737,-11
Samantha Morris,"3,725.00",58,829,844,15
Electra Sorensen,"1,573.00",30,715,735,20
Paavan Devar,"4,377.00",47,835,835,0
Ragnar Lund,"1,346.00",27,711,712,1
Miriam Seifert,"2,466.00",30,750,743,-7
Cameron Kimura,"3,724.00",26,722,744,22
Corinna Wolff,"2,551.00",28,752,743,-9
Kaya Sorensen,"3,483.00",28,744,741,-3
Anund Eklund,"3,459.00",29,779,756,-23
Zoe Bose,"2,067.00",57,847,859,12
